Feature Family,Feature Name,Family Abbreviation,Aggregation Abbreviation,Dimension,IBSI Family code,IBSI Feature code,IBSI Aggregation code,Family Description,FixedBin,PET_unit,CT_unit,MRI_unit,tool_names
intensity histogram,mean absolut deviation,IH,--,2D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_mad
intensity histogram,robust mean absolute deviation,IH,--,2D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_rmad
intensity histogram,median absolut deviation,IH,--,2D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_medad
intensity histogram,coefficient of variation,IH,--,2D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_cov
intensity histogram,entropy,IH,--,2D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_entropy
intensity histogram,uniformity,IH,--,2D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_uniformity
intensity histogram,minimum histogram gradient,IH,--,2D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_min_grad
grey-level co-occurrence matrix,joint maximum,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_joint_max
grey-level co-occurrence matrix,joint average,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_joint_avg
grey-level co-occurrence matrix,joint variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_joint_var
grey-level co-occurrence matrix,joint entropy,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_joint_entr
grey-level co-occurrence matrix,difference average,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_diff_avg
grey-level co-occurrence matrix,difference variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_diff_var
grey-level co-occurrence matrix,difference entropy,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_diff_entr
grey-level co-occurrence matrix,sum average,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_sum_avg
grey-level co-occurrence matrix,sum variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_sum_var
grey-level co-occurrence matrix,sum entropy,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_sum_entr
grey-level co-occurrence matrix,angular second moment,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_energy
grey-level co-occurrence matrix,contrast,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_contrast
grey-level co-occurrence matrix,dissimilarity,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_dissimilarity
grey-level co-occurrence matrix,inverse difference,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_inv_diff
grey-level co-occurrence matrix,inverse difference normalised,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_inv_diff_norm
grey-level co-occurrence matrix,inverse difference moment,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_inv_diff_mom
grey-level co-occurrence matrix,inverse difference moment normalised,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_inv_diff_mom_norm
grey-level co-occurrence matrix,inverse variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_inv_var
grey-level co-occurrence matrix,correlation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_corr
grey-level co-occurrence matrix,autocorrelation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_auto_corr
grey-level co-occurrence matrix,cluster tendency,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_clust_tend
grey-level co-occurrence matrix,cluster shade,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_clust_shade
grey-level co-occurrence matrix,cluster prominence,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_clust_prom
grey-level co-occurrence matrix,first measure of information correlation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_info_corr_1
grey-level co-occurrence matrix,second measure of information correlation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FBT,--,--,--,Fcm_info_corr_2
grey-level run length matrix,short run emphasis,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_sre
